Date,Channel,Duration,Language,Translated,Text,Filename
2026-03-28T22:56:16.000Z,EPSILON_MONITOR,00:13,en,No,"Telemetry stream active.",A2_0328_225616.wav,
2026-03-28T21:08:07.000Z,GAMMA_OPS,00:30,en,No,"Navigation update received.",A2_0328_210807.wav,
2026-03-28T17:21:25.000Z,ZETA_TELEM,00:30,en,No,"Executing maneuver alpha.",A2_0328_172125.wav,
2026-03-28T00:42:05.000Z,ZETA_TELEM,00:43,en,No,"Life support metrics green.",A2_0328_004205.wav,
2026-03-28T21:19:31.000Z,DELTA_CMD,00:28,en,No,"Executing maneuver alpha.",A2_0328_211931.wav,
2026-03-28T08:14:17.000Z,DELTA_CMD,00:13,en,No,"Thermal readings stable.",A2_0328_081417.wav,
2026-03-28T11:03:56.000Z,ZETA_TELEM,00:38,en,No,"Trajectory aligned.",A2_0328_110356.wav,
2026-03-28T10:41:05.000Z,ZETA_TELEM,00:19,en,No,"Payload bay doors secure.",A2_0328_104105.wav,
2026-03-28T06:04:00.000Z,ALPHA_NET,00:38,en,No,"Routing override engaged.",A2_0328_060400.wav,
2026-03-28T01:16:40.000Z,ZETA_TELEM,00:48,en,No,"Checking primary bus voltage.",A2_0328_011640.wav,
2026-03-28T18:55:07.000Z,ALPHA_NET,00:25,en,No,"Secondary loop nominal.",A2_0328_185507.wav,
2026-03-28T18:17:00.000Z,ALPHA_NET,00:35,en,No,"Comm link established.",A2_0328_181700.wav,
2026-03-28T02:20:28.000Z,DELTA_CMD,00:15,en,No,"Payload bay doors secure.",A2_0328_022028.wav,
2026-03-28T06:23:17.000Z,ALPHA_NET,00:49,en,No,"Routing override engaged.",A2_0328_062317.wav,
2026-03-28T01:45:48.000Z,ALPHA_NET,00:46,en,No,"Navigation update received.",A2_0328_014548.wav,
2026-03-28T21:50:03.000Z,ZETA_TELEM,00:37,en,No,"Trajectory aligned.",A2_0328_215003.wav,
2026-03-28T20:05:41.000Z,DELTA_CMD,00:41,en,No,"Payload bay doors secure.",A2_0328_200541.wav,
2026-03-28T13:57:22.000Z,ALPHA_NET,00:45,en,No,"Routing override engaged.",A2_0328_135722.wav,
2026-03-28T07:17:18.000Z,ZETA_TELEM,00:52,en,No,"Telemetry stream active.",A2_0328_071718.wav,
2026-03-28T10:50:47.000Z,GAMMA_OPS,00:20,en,No,"Routing override engaged.",A2_0328_105047.wav,
2026-03-28T12:28:06.000Z,GAMMA_OPS,00:31,en,No,"Subsystem sync complete.",A2_0328_122806.wav,
2026-03-28T10:40:31.000Z,BETA_SYS,00:38,en,No,"Thermal readings stable.",A2_0328_104031.wav,
2026-03-28T10:57:45.000Z,GAMMA_OPS,00:24,en,No,"Network latency within limits.",A2_0328_105745.wav,
2026-03-28T07:16:34.000Z,GAMMA_OPS,00:58,en,No,"Subsystem sync complete.",A2_0328_071634.wav,
2026-03-28T08:08:18.000Z,BETA_SYS,00:24,en,No,"Checking primary bus voltage.",A2_0328_080818.wav,
2026-03-28T19:57:05.000Z,ALPHA_NET,00:36,en,No,"Life support metrics green.",A2_0328_195705.wav,
2026-03-28T12:35:01.000Z,BETA_SYS,00:33,en,No,"Payload bay doors secure.",A2_0328_123501.wav,
2026-03-28T15:41:16.000Z,ALPHA_NET,00:38,en,No,"Power levels nominal.",A2_0328_154116.wav,
2026-03-28T07:01:53.000Z,BETA_SYS,00:57,en,No,"Comm link established.",A2_0328_070153.wav,
2026-03-28T15:47:28.000Z,BETA_SYS,00:25,en,No,"Sensor calibration complete.",A2_0328_154728.wav,
2026-03-28T22:35:30.000Z,EPSILON_MONITOR,00:11,en,No,"Checking primary bus voltage.",A2_0328_223530.wav,
2026-03-28T18:21:50.000Z,BETA_SYS,00:23,en,No,"Routing override engaged.",A2_0328_182150.wav,
2026-03-28T04:01:28.000Z,BETA_SYS,00:24,en,No,"Navigation update received.",A2_0328_040128.wav,
2026-03-28T08:46:00.000Z,ZETA_TELEM,00:54,en,No,"Checking primary bus voltage.",A2_0328_084600.wav,
2026-03-28T14:22:52.000Z,EPSILON_MONITOR,00:10,en,No,"Secondary loop nominal.",A2_0328_142252.wav,
2026-03-28T19:48:20.000Z,ZETA_TELEM,00:20,en,No,"Telemetry stream active.",A2_0328_194820.wav,
2026-03-28T07:08:25.000Z,ALPHA_NET,00:16,en,No,"Trajectory aligned.",A2_0328_070825.wav,
2026-03-28T03:18:24.000Z,GAMMA_OPS,00:35,en,No,"Telemetry stream active.",A2_0328_031824.wav,
2026-03-28T14:31:28.000Z,ZETA_TELEM,00:21,en,No,"Sensor calibration complete.",A2_0328_143128.wav,
2026-03-28T12:51:04.000Z,ALPHA_NET,00:16,en,No,"Power levels nominal.",A2_0328_125104.wav,
2026-03-28T14:13:37.000Z,BETA_SYS,00:23,en,No,"Power levels nominal.",A2_0328_141337.wav,
2026-03-28T16:30:14.000Z,BETA_SYS,00:45,en,No,"Sensor calibration complete.",A2_0328_163014.wav,
2026-03-28T20:17:20.000Z,EPSILON_MONITOR,00:43,en,No,"Routing override engaged.",A2_0328_201720.wav,
2026-03-28T03:52:36.000Z,ALPHA_NET,00:46,en,No,"Power levels nominal.",A2_0328_035236.wav,
2026-03-28T22:48:11.000Z,ALPHA_NET,00:54,en,No,"Network latency within limits.",A2_0328_224811.wav,
2026-03-28T08:16:53.000Z,BETA_SYS,00:55,en,No,"System diagnostic clear.",A2_0328_081653.wav,
2026-03-28T01:19:56.000Z,ALPHA_NET,00:36,en,No,"Awaiting handshake protocol.",A2_0328_011956.wav,
2026-03-28T17:56:07.000Z,EPSILON_MONITOR,00:21,en,No,"Thermal readings stable.",A2_0328_175607.wav,
2026-03-28T07:39:14.000Z,ALPHA_NET,00:59,en,No,"Telemetry stream active.",A2_0328_073914.wav,
2026-03-28T06:09:41.000Z,DELTA_CMD,00:33,en,No,"Telemetry stream active.",A2_0328_060941.wav,
2026-03-28T02:57:02.000Z,ALPHA_NET,00:50,en,No,"Power levels nominal.",A2_0328_025702.wav,
2026-03-28T19:26:14.000Z,BETA_SYS,00:48,en,No,"System diagnostic clear.",A2_0328_192614.wav,
2026-03-28T03:43:38.000Z,DELTA_CMD,00:57,en,No,"System diagnostic clear.",A2_0328_034338.wav,
2026-03-28T03:33:14.000Z,DELTA_CMD,00:53,en,No,"Telemetry stream active.",A2_0328_033314.wav,
2026-03-28T05:06:06.000Z,ALPHA_NET,00:22,en,No,"Sensor calibration complete.",A2_0328_050606.wav,
2026-03-28T00:33:14.000Z,GAMMA_OPS,00:43,en,No,"Awaiting handshake protocol.",A2_0328_003314.wav,
2026-03-28T17:28:49.000Z,DELTA_CMD,00:20,en,No,"Telemetry stream active.",A2_0328_172849.wav,
2026-03-28T00:47:57.000Z,GAMMA_OPS,00:20,en,No,"Payload bay doors secure.",A2_0328_004757.wav,
2026-03-28T05:52:17.000Z,ALPHA_NET,00:44,en,No,"Trajectory aligned.",A2_0328_055217.wav,
2026-03-28T23:26:21.000Z,DELTA_CMD,00:21,en,No,"Secondary loop nominal.",A2_0328_232621.wav,
2026-03-28T05:00:34.000Z,ALPHA_NET,00:33,en,No,"Executing maneuver alpha.",A2_0328_050034.wav,
2026-03-28T02:15:12.000Z,ALPHA_NET,00:38,en,No,"Awaiting handshake protocol.",A2_0328_021512.wav,
2026-03-28T10:38:09.000Z,DELTA_CMD,00:10,en,No,"Thermal readings stable.",A2_0328_103809.wav,
2026-03-28T17:02:28.000Z,ZETA_TELEM,00:22,en,No,"Telemetry stream active.",A2_0328_170228.wav,
2026-03-28T03:17:46.000Z,BETA_SYS,00:26,en,No,"Thermal readings stable.",A2_0328_031746.wav,
2026-03-28T05:53:01.000Z,EPSILON_MONITOR,00:21,en,No,"Telemetry stream active.",A2_0328_055301.wav,
2026-03-28T14:12:37.000Z,BETA_SYS,00:32,en,No,"Comm link established.",A2_0328_141237.wav,
2026-03-28T13:11:48.000Z,GAMMA_OPS,00:19,en,No,"Navigation update received.",A2_0328_131148.wav,
2026-03-28T23:57:32.000Z,GAMMA_OPS,00:51,en,No,"Subsystem sync complete.",A2_0328_235732.wav,
2026-03-28T21:06:21.000Z,DELTA_CMD,00:44,en,No,"Verifying checksums.",A2_0328_210621.wav,
2026-03-28T16:26:14.000Z,GAMMA_OPS,00:53,en,No,"Sensor calibration complete.",A2_0328_162614.wav,
2026-03-28T13:15:15.000Z,EPSILON_MONITOR,00:40,en,No,"Sensor calibration complete.",A2_0328_131515.wav,
2026-03-28T07:22:38.000Z,EPSILON_MONITOR,00:26,en,No,"Checking primary bus voltage.",A2_0328_072238.wav,
2026-03-28T01:45:10.000Z,GAMMA_OPS,00:59,en,No,"Executing maneuver alpha.",A2_0328_014510.wav,
2026-03-28T21:17:46.000Z,EPSILON_MONITOR,00:30,en,No,"Verifying checksums.",A2_0328_211746.wav,
